Location,2014,2015,2016,2017,2018,2019,2020,2021,2022
Netherlands,0.236,0.182,0.152,0.209,0.185,0.19,0.184,0.194,0.216
United States,2.581,2.804,3.178,3.342,3.156,3.152,4.054,NaN,NaN
